IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码
108.162.193.17,10,10,0.00,111.61,2.75,SIN
173.245.58.143,10,10,0.00,111.42,2.75,SIN
104.26.5.44,10,10,0.00,105.90,0.35,HKG
104.26.14.238,10,10,0.00,107.60,0.33,HKG
162.159.39.173,10,10,0.00,66.58,0.00,NRT
162.159.38.224,10,10,0.00,69.61,0.00,NRT
162.159.44.154,10,10,0.00,70.10,0.00,NRT
162.159.45.235,10,10,0.00,70.28,0.00,NRT
108.162.198.191,10,10,0.00,71.54,0.00,NRT
172.65.237.252,10,10,0.00,103.70,0.00,HKG
172.65.229.183,10,10,0.00,108.81,0.00,HKG
108.162.192.115,10,10,0.00,109.65,0.00,SIN
162.159.33.104,10,10,0.00,109.84,0.00,SIN
108.162.194.26,10,10,0.00,110.44,0.00,SIN
108.162.195.224,10,10,0.00,110.92,0.00,SIN
162.159.42.85,10,10,0.00,111.29,0.00,SIN
162.159.35.90,10,10,0.00,111.48,0.00,SIN
162.159.61.179,10,10,0.00,111.49,0.00,SIN
162.159.58.165,10,10,0.00,111.52,0.00,SIN
162.159.40.161,10,10,0.00,111.66,0.00,SIN
162.159.32.200,10,10,0.00,111.91,0.00,SIN
162.159.60.250,10,10,0.00,111.91,0.00,SIN
162.159.62.209,10,10,0.00,111.97,0.00,SIN
162.159.46.15,10,10,0.00,112.06,0.00,SIN
162.159.48.141,10,10,0.00,112.15,0.00,SIN
162.159.43.149,10,10,0.00,112.16,0.00,SIN
162.159.41.23,10,10,0.00,112.17,0.00,SIN
162.159.49.188,10,10,0.00,112.27,0.00,SIN
162.159.34.249,10,10,0.00,112.43,0.00,SIN
162.159.36.181,10,10,0.00,112.59,0.00,SIN
108.162.196.196,10,10,0.00,112.63,0.00,SIN
173.245.59.105,10,10,0.00,112.63,0.00,SIN
104.26.1.129,10,10,0.00,118.62,0.00,HKG
104.26.3.132,10,10,0.00,131.50,0.00,HKG
104.26.11.79,10,10,0.00,132.04,0.00,HKG
172.67.65.162,10,10,0.00,135.31,0.00,HKG
104.20.22.200,10,10,0.00,145.31,0.00,HKG
104.26.9.244,10,10,0.00,158.57,0.00,HKG
172.67.78.249,10,10,0.00,159.47,0.00,HKG
104.26.15.101,10,10,0.00,161.31,0.00,HKG
172.67.76.246,10,10,0.00,163.32,0.00,HKG
104.20.21.172,10,10,0.00,163.43,0.00,HKG
104.16.6.247,10,10,0.00,164.08,0.00,SJC
104.17.120.2,10,10,0.00,164.20,0.00,SJC
104.16.45.233,10,10,0.00,164.51,0.00,SJC
104.17.186.252,10,10,0.00,164.60,0.00,SJC
104.17.129.9,10,10,0.00,164.60,0.00,SJC
104.26.10.24,10,10,0.00,164.95,0.00,HKG
104.17.184.75,10,10,0.00,165.10,0.00,SJC
104.17.106.131,10,10,0.00,165.10,0.00,SJC
104.17.126.159,10,10,0.00,165.20,0.00,SJC
104.16.14.210,10,10,0.00,165.41,0.00,SJC
104.17.164.214,10,10,0.00,165.65,0.00,SJC
104.16.148.70,10,10,0.00,165.80,0.00,SJC
104.16.40.98,10,10,0.00,165.82,0.00,SJC
104.17.121.88,10,10,0.00,165.90,0.00,SJC
104.16.90.107,10,10,0.00,166.14,0.00,SJC
104.16.15.132,10,10,0.00,166.32,0.00,SJC
104.16.49.11,10,10,0.00,166.35,0.00,SJC
104.17.150.242,10,10,0.00,166.35,0.00,SJC
104.17.180.174,10,10,0.00,166.50,0.00,SJC
172.65.234.252,10,10,0.00,166.56,0.00,HKG
104.16.81.248,10,10,0.00,166.62,0.00,SJC
104.16.92.202,10,10,0.00,166.79,0.00,SJC
104.17.172.74,10,10,0.00,166.80,0.00,SJC
104.16.25.83,10,10,0.00,166.82,0.00,SJC
104.16.42.227,10,10,0.00,166.89,0.00,SJC
104.16.19.27,10,10,0.00,166.91,0.00,SJC
104.16.21.140,10,10,0.00,167.00,0.00,SJC
104.17.152.74,10,10,0.00,167.05,0.00,SJC
104.17.176.54,10,10,0.00,167.09,0.00,SJC
104.16.83.103,10,10,0.00,167.15,0.00,SJC
104.16.57.194,10,10,0.00,167.15,0.00,SJC
104.16.72.206,10,10,0.00,167.20,0.00,SJC
104.16.97.10,10,10,0.00,167.29,0.00,SJC
104.16.33.24,10,10,0.00,167.29,0.00,SJC
104.16.61.137,10,10,0.00,167.37,0.00,SJC
104.17.75.215,10,10,0.00,167.50,0.00,SJC
104.17.165.128,10,10,0.00,167.57,0.00,SJC
104.16.43.157,10,10,0.00,167.61,0.00,SJC
104.16.37.124,10,10,0.00,167.68,0.00,SJC
104.17.43.79,10,10,0.00,167.70,0.00,SJC
104.17.175.159,10,10,0.00,167.84,0.00,SJC
104.17.140.241,10,10,0.00,167.90,0.00,SJC
104.16.87.93,10,10,0.00,167.97,0.00,SJC
104.17.88.118,10,10,0.00,168.00,0.00,SJC
172.66.135.253,10,10,0.00,168.13,0.00,LAX
190.93.244.222,10,10,0.00,168.15,0.00,SJC
172.67.79.159,10,10,0.00,168.17,0.00,HKG
104.16.149.174,10,10,0.00,168.29,0.00,SJC
104.17.62.139,10,10,0.00,168.40,0.00,SJC
104.18.104.109,10,10,0.00,168.43,0.00,LAX
104.16.2.120,10,10,0.00,168.43,0.00,SJC
104.17.142.7,10,10,0.00,168.55,0.00,SJC
104.17.154.27,10,10,0.00,168.55,0.00,SJC
104.17.100.28,10,10,0.00,168.60,0.00,SJC
104.16.101.141,10,10,0.00,168.62,0.00,SJC
104.16.5.40,10,10,0.00,168.86,0.00,SJC
104.17.158.235,10,10,0.00,168.87,0.00,SJC
104.17.72.6,10,10,0.00,168.90,0.00,SJC
104.17.125.154,10,10,0.00,169.00,0.00,SJC
104.25.168.130,10,10,0.00,169.00,0.00,LAX
104.17.86.6,10,10,0.00,169.00,0.00,SJC
104.16.73.231,10,10,0.00,169.05,0.00,SJC
104.16.18.210,10,10,0.00,169.08,0.00,SJC
104.16.82.166,10,10,0.00,169.10,0.00,SJC
104.16.94.104,10,10,0.00,169.12,0.00,SJC
104.16.63.83,10,10,0.00,169.20,0.00,SJC
104.16.27.121,10,10,0.00,169.26,0.00,SJC
104.17.60.18,10,10,0.00,169.30,0.00,SJC
104.17.19.207,10,10,0.00,169.30,0.00,LAX
104.16.52.6,10,10,0.00,169.33,0.00,SJC
104.16.100.104,10,10,0.00,169.44,0.00,SJC
104.17.104.115,10,10,0.00,169.50,0.00,SJC
104.24.227.183,10,10,0.00,169.51,0.00,LAX
104.16.66.57,10,10,0.00,169.53,0.00,SJC
104.17.93.187,10,10,0.00,169.60,0.00,SJC
104.16.46.207,10,10,0.00,169.60,0.00,SJC
104.16.60.201,10,10,0.00,169.73,0.00,SJC
104.16.13.181,10,10,0.00,169.78,0.00,SJC
104.16.84.216,10,10,0.00,169.79,0.00,SJC
104.17.99.122,10,10,0.00,169.90,0.00,SJC
104.17.90.14,10,10,0.00,170.00,0.00,SJC
104.27.104.183,10,10,0.00,170.01,0.00,LAX
104.17.148.5,10,10,0.00,170.05,0.00,SJC
104.16.54.70,10,10,0.00,170.09,0.00,SJC
104.16.34.102,10,10,0.00,170.18,0.00,SJC
104.17.83.169,10,10,0.00,170.20,0.00,SJC
104.17.85.24,10,10,0.00,170.20,0.00,SJC
172.66.173.15,10,10,0.00,170.23,0.00,LAX
104.16.62.82,10,10,0.00,170.26,0.00,SJC
162.159.19.178,10,10,0.00,170.29,0.00,LAX
104.16.150.220,10,10,0.00,170.33,0.00,SJC
104.16.29.88,10,10,0.00,170.36,0.00,SJC
104.16.31.222,10,10,0.00,170.39,0.00,SJC
104.17.58.151,10,10,0.00,170.40,0.00,SJC
104.17.102.146,10,10,0.00,170.50,0.00,SJC
104.17.103.123,10,10,0.00,170.50,0.00,SJC
104.16.151.52,10,10,0.00,170.50,0.00,SJC
104.16.12.91,10,10,0.00,170.59,0.00,SJC
104.16.86.219,10,10,0.00,170.60,0.00,SJC
104.17.135.28,10,10,0.00,170.80,0.00,SJC
104.17.54.74,10,10,0.00,170.80,0.00,SJC
104.16.3.13,10,10,0.00,170.82,0.00,SJC
104.25.134.202,10,10,0.00,170.90,0.00,LAX
104.17.40.188,10,10,0.00,171.00,0.00,SJC
141.101.120.11,10,10,0.00,171.08,0.00,SJC
104.16.32.96,10,10,0.00,171.21,0.00,SJC
141.101.121.177,10,10,0.00,171.25,0.00,SJC
104.16.1.16,10,10,0.00,171.27,0.00,SJC
104.16.77.121,10,10,0.00,171.27,0.00,SJC
104.17.46.246,10,10,0.00,171.30,0.00,SJC
172.67.66.138,10,10,0.00,171.33,0.00,HKG
104.16.69.72,10,10,0.00,171.35,0.00,SJC
104.17.59.96,10,10,0.00,171.40,0.00,SJC
104.17.155.88,10,10,0.00,171.44,0.00,SJC
104.16.106.117,10,10,0.00,171.46,0.00,LAX
104.16.102.187,10,10,0.00,171.46,0.00,SJC
141.101.115.117,10,10,0.00,171.50,0.00,SJC
104.17.87.10,10,10,0.00,171.50,0.00,SJC
104.16.65.67,10,10,0.00,171.51,0.00,SJC
104.16.80.243,10,10,0.00,171.52,0.00,SJC
190.93.246.252,10,10,0.00,171.64,0.00,SJC
104.17.114.60,10,10,0.00,171.70,0.00,LAX
103.21.244.45,10,10,0.00,171.76,0.00,SJC
104.17.69.127,10,10,0.00,171.80,0.00,SJC
172.66.40.191,10,10,0.00,171.85,0.00,LAX
190.93.245.205,10,10,0.00,171.86,0.00,SJC
198.41.195.150,10,10,0.00,171.87,0.00,LAX
104.16.26.50,10,10,0.00,171.89,0.00,SJC
104.25.73.123,10,10,0.00,172.00,0.00,LAX
104.17.63.128,10,10,0.00,172.00,0.00,SJC
104.16.9.98,10,10,0.00,172.06,0.00,SJC
104.17.174.59,10,10,0.00,172.10,0.00,SJC
104.17.131.187,10,10,0.00,172.10,0.00,SJC
104.17.159.160,10,10,0.00,172.14,0.00,SJC
104.27.46.150,10,10,0.00,172.14,0.00,LAX
104.17.143.248,10,10,0.00,172.15,0.00,SJC
104.25.171.88,10,10,0.00,172.20,0.00,LAX
104.16.50.99,10,10,0.00,172.20,0.00,SJC
104.16.7.151,10,10,0.00,172.28,0.00,SJC
104.17.119.213,10,10,0.00,172.30,0.00,SJC
104.25.125.224,10,10,0.00,172.30,0.00,LAX
104.17.42.138,10,10,0.00,172.30,0.00,SJC
104.18.79.231,10,10,0.00,172.40,0.00,LAX
104.16.64.177,10,10,0.00,172.59,0.00,SJC
104.17.171.135,10,10,0.00,172.60,0.00,SJC
104.16.198.69,10,10,0.00,172.62,0.00,LAX
104.27.83.240,10,10,0.00,172.71,0.00,LAX
104.17.79.6,10,10,0.00,172.80,0.00,SJC
104.25.107.98,10,10,0.00,172.90,0.00,LAX
104.16.74.84,10,10,0.00,172.95,0.00,SJC
172.64.33.144,10,10,0.00,173.07,0.00,LAX
172.66.202.162,10,10,0.00,173.15,0.00,LAX
104.25.23.154,10,10,0.00,173.40,0.00,LAX
104.16.160.122,10,10,0.00,173.46,0.00,LAX
172.64.157.174,10,10,0.00,173.48,0.00,LAX
104.16.38.189,10,10,0.00,173.58,0.00,SJC
104.24.212.41,10,10,0.00,173.59,0.00,LAX
104.16.133.173,10,10,0.00,173.69,0.00,LAX
104.17.122.9,10,10,0.00,173.70,0.00,SJC
104.16.79.2,10,10,0.00,173.71,0.00,SJC
104.25.84.232,10,10,0.00,173.90,0.00,LAX
104.16.93.46,10,10,0.00,173.99,0.00,SJC
104.16.255.110,10,10,0.00,174.01,0.00,LAX
104.17.89.87,10,10,0.00,174.10,0.00,SJC
190.93.247.40,10,10,0.00,174.17,0.00,SJC
104.18.87.67,10,10,0.00,174.18,0.00,LAX
172.64.156.173,10,10,0.00,174.24,0.00,LAX
104.24.156.234,10,10,0.00,174.31,0.00,LAX
104.18.103.163,10,10,0.00,174.31,0.00,LAX
104.17.0.148,10,10,0.00,174.33,0.00,LAX
104.16.99.23,10,10,0.00,174.33,0.00,SJC
104.16.85.147,10,10,0.00,174.47,0.00,SJC
104.17.61.146,10,10,0.00,174.50,0.00,SJC
104.17.39.73,10,10,0.00,174.50,0.00,LAX
104.27.1.123,10,10,0.00,174.53,0.00,LAX
104.16.194.252,10,10,0.00,174.53,0.00,LAX
172.66.171.162,10,10,0.00,174.57,0.00,LAX
104.16.53.192,10,10,0.00,174.61,0.00,SJC
104.17.132.243,10,10,0.00,174.70,0.00,SJC
104.24.45.150,10,10,0.00,174.85,0.00,LAX
104.17.9.145,10,10,0.00,174.86,0.00,LAX
104.16.55.59,10,10,0.00,174.86,0.00,SJC
104.25.38.42,10,10,0.00,174.90,0.00,LAX
104.16.8.157,10,10,0.00,174.96,0.00,SJC
104.16.136.1,10,10,0.00,175.00,0.00,LAX
104.18.78.179,10,10,0.00,175.03,0.00,LAX
172.64.146.40,10,10,0.00,175.04,0.00,LAX
104.16.135.222,10,10,0.00,175.05,0.00,LAX
104.16.91.38,10,10,0.00,175.08,0.00,SJC
104.16.123.6,10,10,0.00,175.10,0.00,LAX
104.16.239.152,10,10,0.00,175.14,0.00,LAX
172.64.147.44,10,10,0.00,175.15,0.00,LAX
104.25.61.74,10,10,0.00,175.20,0.00,LAX
104.17.53.75,10,10,0.00,175.20,0.00,SJC
104.16.147.164,10,10,0.00,175.22,0.00,SJC
162.159.18.80,10,10,0.00,175.29,0.00,LAX
104.17.136.20,10,10,0.00,175.30,0.00,SJC
172.64.151.239,10,10,0.00,175.32,0.00,LAX
172.64.35.62,10,10,0.00,175.35,0.00,LAX
104.18.120.78,10,10,0.00,175.38,0.00,LAX
104.16.11.95,10,10,0.00,175.47,0.00,SJC
104.18.8.166,10,10,0.00,175.49,0.00,LAX
104.25.112.98,10,10,0.00,175.50,0.00,LAX
172.64.152.245,10,10,0.00,175.54,0.00,LAX
104.18.75.127,10,10,0.00,175.63,0.00,LAX
172.64.49.10,10,10,0.00,175.68,0.00,LAX
104.16.141.72,10,10,0.00,175.79,0.00,LAX
104.17.48.72,10,10,0.00,175.80,0.00,SJC
162.159.13.75,10,10,0.00,175.89,0.00,LAX
104.18.115.234,10,10,0.00,175.90,0.00,LAX
104.16.248.118,10,10,0.00,175.95,0.00,LAX
104.17.137.105,10,10,0.00,175.95,0.00,SJC
104.17.45.170,10,10,0.00,176.00,0.00,SJC
104.17.250.15,10,10,0.00,176.02,0.00,LAX
104.16.247.10,10,10,0.00,176.05,0.00,LAX
104.16.167.97,10,10,0.00,176.11,0.00,LAX
162.159.20.210,10,10,0.00,176.15,0.00,LAX
172.66.197.38,10,10,0.00,176.21,0.00,LAX
104.17.141.242,10,10,0.00,176.24,0.00,SJC
104.17.78.83,10,10,0.00,176.30,0.00,SJC
104.18.168.158,10,10,0.00,176.34,0.00,LAX
162.159.242.70,10,10,0.00,176.35,0.00,LAX
104.16.210.58,10,10,0.00,176.42,0.00,LAX
104.16.208.65,10,10,0.00,176.52,0.00,LAX
172.67.77.233,10,10,0.00,176.63,0.00,HKG
104.16.185.84,10,10,0.00,176.64,0.00,LAX
104.19.23.168,10,10,0.00,176.66,0.00,LAX
162.159.8.31,10,10,0.00,176.70,0.00,LAX
104.27.19.122,10,10,0.00,176.76,0.00,LAX
104.16.222.61,10,10,0.00,176.82,0.00,LAX
104.16.110.34,10,10,0.00,176.86,0.00,LAX
104.16.224.33,10,10,0.00,176.93,0.00,LAX
104.16.95.147,10,10,0.00,176.95,0.00,SJC
104.17.12.72,10,10,0.00,177.00,0.00,LAX
104.16.220.93,10,10,0.00,177.03,0.00,LAX
172.65.194.192,10,10,0.00,177.16,0.00,LAX
172.67.86.220,10,10,0.00,177.21,0.00,LAX
104.16.196.211,10,10,0.00,177.37,0.00,LAX
104.18.80.159,10,10,0.00,177.49,0.00,LAX
104.16.120.147,10,10,0.00,177.50,0.00,LAX
104.25.197.251,10,10,0.00,177.60,0.00,LAX
104.25.203.36,10,10,0.00,177.60,0.00,LAX
104.18.5.171,10,10,0.00,177.68,0.00,LAX
104.25.102.97,10,10,0.00,177.70,0.00,LAX
104.17.65.132,10,10,0.00,177.70,0.00,SJC
172.66.207.108,10,10,0.00,177.77,0.00,LAX
104.17.52.124,10,10,0.00,177.80,0.00,SJC
172.66.211.80,10,10,0.00,177.81,0.00,LAX
173.245.49.229,10,10,0.00,177.87,0.00,SJC
104.17.101.15,10,10,0.00,177.90,0.00,SJC
104.25.46.26,10,10,0.00,177.90,0.00,LAX
172.67.127.193,10,10,0.00,178.00,0.00,LAX
104.25.32.98,10,10,0.00,178.00,0.00,LAX
104.18.16.246,10,10,0.00,178.08,0.00,LAX
172.64.231.217,10,10,0.00,178.13,0.00,LAX
172.64.155.219,10,10,0.00,178.15,0.00,LAX
104.17.193.199,10,10,0.00,178.20,0.00,LAX
162.159.9.149,10,10,0.00,178.23,0.00,LAX
104.17.7.139,10,10,0.00,178.25,0.00,LAX
162.159.255.100,10,10,0.00,178.29,0.00,LAX
172.66.136.178,10,10,0.00,178.31,0.00,LAX
172.67.91.189,10,10,0.00,178.34,0.00,LAX
104.24.71.56,10,10,0.00,178.36,0.00,LAX
104.17.32.12,10,10,0.00,178.37,0.00,LAX
104.25.147.51,10,10,0.00,178.40,0.00,LAX
104.25.243.6,10,10,0.00,178.40,0.00,LAX
162.159.248.101,10,10,0.00,178.49,0.00,LAX
172.65.212.110,10,10,0.00,178.52,0.00,LAX
162.159.249.152,10,10,0.00,178.57,0.00,LAX
104.17.31.156,10,10,0.00,178.61,0.00,LAX
104.26.7.211,10,10,0.00,178.68,0.00,HKG
104.18.1.178,10,10,0.00,178.70,0.00,LAX
172.64.40.218,10,10,0.00,178.80,0.00,LAX
104.25.105.150,10,10,0.00,179.00,0.00,LAX
104.17.11.123,10,10,0.00,179.00,0.00,LAX
104.16.176.193,10,10,0.00,179.02,0.00,LAX
104.25.247.78,10,10,0.00,179.04,0.00,LAX
104.18.124.175,10,10,0.00,179.20,0.00,LAX
104.25.146.194,10,10,0.00,179.30,0.00,LAX
104.17.108.114,10,10,0.00,179.30,0.00,LAX
104.19.9.102,10,10,0.00,179.34,0.00,LAX
104.18.97.203,10,10,0.00,179.39,0.00,LAX
104.17.29.238,10,10,0.00,179.47,0.00,LAX
104.17.192.134,10,10,0.00,179.50,0.00,LAX
104.17.110.35,10,10,0.00,179.50,0.00,LAX
104.18.18.118,10,10,0.00,179.50,0.00,LAX
104.27.102.253,10,10,0.00,179.56,0.00,LAX
104.25.69.200,10,10,0.00,179.60,0.00,LAX
104.25.241.225,10,10,0.00,179.61,0.00,LAX
104.18.119.89,10,10,0.00,179.62,0.00,LAX
104.16.165.202,10,10,0.00,179.62,0.00,LAX
162.159.7.126,10,10,0.00,179.63,0.00,LAX
198.41.214.10,10,10,0.00,179.72,0.00,LAX
104.18.15.228,10,10,0.00,179.87,0.00,LAX
162.159.5.52,10,10,0.00,179.91,0.00,LAX
104.24.177.11,10,10,0.00,179.91,0.00,LAX
172.67.107.94,10,10,0.00,179.97,0.00,LAX
104.25.106.133,10,10,0.00,180.00,0.00,LAX
104.25.174.107,10,10,0.00,180.00,0.00,LAX
104.16.170.61,10,10,0.00,180.00,0.00,LAX
104.24.220.151,10,10,0.00,180.01,0.00,LAX
104.18.99.95,10,10,0.00,180.02,0.00,LAX
104.16.203.199,10,10,0.00,180.07,0.00,LAX
104.25.250.172,10,10,0.00,180.08,0.00,LAX
104.25.132.181,10,10,0.00,180.10,0.00,LAX
104.16.240.154,10,10,0.00,180.15,0.00,LAX
104.16.204.108,10,10,0.00,180.17,0.00,LAX
104.25.1.185,10,10,0.00,180.20,0.00,LAX
104.25.100.59,10,10,0.00,180.20,0.00,LAX
104.16.158.46,10,10,0.00,180.26,0.00,LAX
104.25.182.105,10,10,0.00,180.30,0.00,LAX
104.17.117.205,10,10,0.00,180.30,0.00,LAX
104.16.232.230,10,10,0.00,180.37,0.00,LAX
104.18.95.19,10,10,0.00,180.40,0.00,LAX
104.18.92.253,10,10,0.00,180.44,0.00,LAX
104.24.150.35,10,10,0.00,180.47,0.00,LAX
104.16.116.227,10,10,0.00,180.53,0.00,LAX
104.17.20.245,10,10,0.00,180.55,0.00,LAX
104.24.190.81,10,10,0.00,180.56,0.00,LAX
104.27.91.162,10,10,0.00,180.57,0.00,LAX
104.16.142.4,10,10,0.00,180.59,0.00,LAX
104.27.53.143,10,10,0.00,180.60,0.00,LAX
104.17.23.206,10,10,0.00,180.62,0.00,LAX
104.27.73.182,10,10,0.00,180.65,0.00,LAX
104.17.5.226,10,10,0.00,180.65,0.00,LAX
104.16.211.188,10,10,0.00,180.66,0.00,LAX
104.24.0.69,10,10,0.00,180.71,0.00,LAX
104.17.6.34,10,10,0.00,180.76,0.00,LAX
104.27.79.135,10,10,0.00,180.82,0.00,LAX
104.25.110.41,10,10,0.00,180.90,0.00,LAX
104.16.182.112,10,10,0.00,180.96,0.00,LAX
104.24.161.155,10,10,0.00,181.00,0.00,LAX
172.66.43.113,10,10,0.00,181.02,0.00,LAX
104.16.237.159,10,10,0.00,181.03,0.00,LAX
104.18.89.66,10,10,0.00,181.04,0.00,LAX
104.24.27.12,10,10,0.00,181.06,0.00,LAX
104.25.160.240,10,10,0.00,181.10,0.00,LAX
104.18.96.22,10,10,0.00,181.18,0.00,LAX
104.16.191.138,10,10,0.00,181.19,0.00,LAX
172.66.46.82,10,10,0.00,181.24,0.00,LAX
104.16.217.15,10,10,0.00,181.26,0.00,LAX
104.25.226.151,10,10,0.00,181.27,0.00,LAX
104.24.29.136,10,10,0.00,181.29,0.00,LAX
162.159.10.65,10,10,0.00,181.33,0.00,LAX
172.64.72.62,10,10,0.00,181.34,0.00,LAX
104.16.252.86,10,10,0.00,181.37,0.00,LAX
172.64.229.172,10,10,0.00,181.38,0.00,LAX
104.25.155.55,10,10,0.00,181.40,0.00,LAX
